SourceLabel,NewLabel
fBodyBodyGyroJerkMag-mean(),AngularAccelerationFrequencyDomainMagnitudeMean
fBodyBodyGyroJerkMag-std(),AngularAccelerationFrequencyDomainMagnitudeStdDev
tBodyGyroJerkMag-mean(),AngularAccelerationTimeDomainMagnitudeMean
tBodyGyroJerkMag-std(),AngularAccelerationTimeDomainMagnitudeStdDev
tBodyGyroJerk-mean()-X,AngularAccelerationTimeDomainXAxisMean
tBodyGyroJerk-std()-X,AngularAccelerationTimeDomainXAxisStdDev
tBodyGyroJerk-mean()-Y,AngularAccelerationTimeDomainYAxisMean
tBodyGyroJerk-std()-Y,AngularAccelerationTimeDomainYAxisStdDev
tBodyGyroJerk-mean()-Z,AngularAccelerationTimeDomainZAxisMean
tBodyGyroJerk-std()-Z,AngularAccelerationTimeDomainZAxisStdDev
fBodyBodyGyroMag-mean(),AngularVelocityFrequencyDomainMagnitudeMean
fBodyBodyGyroMag-std(),AngularVelocityFrequencyDomainMagnitudeStdDev
fBodyGyro-mean()-X,AngularVelocityFrequencyDomainXAxisMean
fBodyGyro-std()-X,AngularVelocityFrequencyDomainXAxisStdDev
fBodyGyro-mean()-Y,AngularVelocityFrequencyDomainYAxisMean
fBodyGyro-std()-Y,AngularVelocityFrequencyDomainYAxisStdDev
fBodyGyro-mean()-Z,AngularVelocityFrequencyDomainZAxisMean
fBodyGyro-std()-Z,AngularVelocityFrequencyDomainZAxisStdDev
tBodyGyroMag-mean(),AngularVelocityTimeDomainMagnitudeMean
tBodyGyroMag-std(),AngularVelocityTimeDomainMagnitudeStdDev
tBodyGyro-mean()-X,AngularVelocityTimeDomainXAxisMean
tBodyGyro-std()-X,AngularVelocityTimeDomainXAxisStdDev
tBodyGyro-mean()-Y,AngularVelocityTimeDomainYAxisMean
tBodyGyro-std()-Y,AngularVelocityTimeDomainYAxisStdDev
tBodyGyro-mean()-Z,AngularVelocityTimeDomainZAxisMean
tBodyGyro-std()-Z,AngularVelocityTimeDomainZAxisStdDev
fBodyAccMag-mean(),BodyAccelerationFrequencyDomainMagnitudeMean
fBodyAccMag-std(),BodyAccelerationFrequencyDomainMagnitudeStdDev
fBodyAcc-mean()-X,BodyAccelerationFrequencyDomainXAxisMean
fBodyAcc-std()-X,BodyAccelerationFrequencyDomainXAxisStdDev
fBodyAcc-mean()-Y,BodyAccelerationFrequencyDomainYAxisMean
fBodyAcc-std()-Y,BodyAccelerationFrequencyDomainYAxisStdDev
fBodyAcc-mean()-Z,BodyAccelerationFrequencyDomainZAxisMean
fBodyAcc-std()-Z,BodyAccelerationFrequencyDomainZAxisStdDev
tBodyAccMag-mean(),BodyAccelerationTimeDomainMagnitudeMean
tBodyAccMag-std(),BodyAccelerationTimeDomainMagnitudeStdDev
tBodyAcc-mean()-X,BodyAccelerationTimeDomainXAxisMean
tBodyAcc-std()-X,BodyAccelerationTimeDomainXAxisStdDev
tBodyAcc-mean()-Y,BodyAccelerationTimeDomainYAxisMean
tBodyAcc-std()-Y,BodyAccelerationTimeDomainYAxisStdDev
tBodyAcc-mean()-Z,BodyAccelerationTimeDomainZAxisMean
tBodyAcc-std()-Z,BodyAccelerationTimeDomainZAxisStdDev
fBodyBodyAccJerkMag-mean(),BodyJerkFrequencyDomainMagnitudeMean
fBodyBodyAccJerkMag-std(),BodyJerkFrequencyDomainMagnitudeStdDev
fBodyAccJerk-mean()-X,BodyJerkFrequencyDomainXAxisMean
fBodyAccJerk-std()-X,BodyJerkFrequencyDomainXAxisStdDev
fBodyAccJerk-mean()-Y,BodyJerkFrequencyDomainYAxisMean
fBodyAccJerk-std()-Y,BodyJerkFrequencyDomainYAxisStdDev
fBodyAccJerk-mean()-Z,BodyJerkFrequencyDomainZAxisMean
fBodyAccJerk-std()-Z,BodyJerkFrequencyDomainZAxisStdDev
tBodyAccJerkMag-mean(),BodyJerkTimeDomainMagnitudeMean
tBodyAccJerkMag-std(),BodyJerkTimeDomainMagnitudeStdDev
tBodyAccJerk-mean()-X,BodyJerkTimeDomainXAxisMean
tBodyAccJerk-std()-X,BodyJerkTimeDomainXAxisStdDev
tBodyAccJerk-mean()-Y,BodyJerkTimeDomainYAxisMean
tBodyAccJerk-std()-Y,BodyJerkTimeDomainYAxisStdDev
tBodyAccJerk-mean()-Z,BodyJerkTimeDomainZAxisMean
tBodyAccJerk-std()-Z,BodyJerkTimeDomainZAxisStdDev
tGravityAccMag-mean(),GravityAccelerationTimeDomainMagnitudeMean
tGravityAccMag-std(),GravityAccelerationTimeDomainMagnitudeStdDev
tGravityAcc-mean()-X,GravityAccelerationTimeDomainXAxisMean
tGravityAcc-std()-X,GravityAccelerationTimeDomainXAxisStdDev
tGravityAcc-mean()-Y,GravityAccelerationTimeDomainYAxisMean
tGravityAcc-std()-Y,GravityAccelerationTimeDomainYAxisStdDev
tGravityAcc-mean()-Z,GravityAccelerationTimeDomainZAxisMean
tGravityAcc-std()-Z,GravityAccelerationTimeDomainZAxisStdDev
